Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr21	14453714	5.492e-4	1.93015682
chr21	14454106	1.828e-5	1.93042105
chr21	14456508	1.034e-4	1.93191588
chr21	14458419	5.181e-5	1.93266491
chr21	14467111	4.7e-5	1.9333448
chr21	14467221	8.1e-7	1.93335645
chr21	14470541	6.43e-5	1.93428693
chr21	14470610	1.58e-6	1.93430979
chr21	14470669	1.46e-6	1.93433093
chr21	14471398	2.2e-5	1.93464933
chr21	14472053	2.064e-5	1.93494801
chr21	14472306	3.6e-6	1.93500005
chr21	14474983	1.528e-5	1.93522126
chr21	14475400	2.46e-6	1.9352568
chr21	14475901	3.02e-6	1.9353005
chr21	14480335	2.833e-5	1.93571069
chr21	14481325	8.09e-6	1.9358278
chr21	14482031	6.38e-6	1.93592019
chr21	14484526	6.769e-5	1.9369006
chr21	14488857	7.722e-5	1.93801938
chr21	14492726	8.882e-5	1.93930659
chr21	14502625	6.0677e-4	1.9481064
chr21	14502698	5.09e-6	1.94818026
chr21	14503678	6.741e-5	1.94915799
chr21	14505500	1.2525e-4	1.95097476
chr21	14506159	1.5485e-4	1.95322097
chr21	14510084	0.00461431	2.02017504
chr21	14511805	0.00190813	2.04786548
chr21	14517066	0.00115683	2.0646592
chr21	14521636	5.2863e-4	2.07233571
chr21	14521834	7.51e-6	2.07244473
chr21	14522466	5.63e-6	2.07252648
chr21	14523076	4.028e-5	2.07311144
chr21	14525460	3.59e-6	2.07316358
chr21	14525661	3.1e-7	2.07316808
chr21	14525941	4.086e-5	2.07376156
chr21	14526483	7.3e-7	2.07377215
chr21	14527036	7.4e-7	2.07378296
chr21	14527183	2e-7	2.07378583
chr21	14527258	1.1e-7	2.07378747
chr21	14527999	4.916e-5	2.07450172
chr21	14528225	2.8e-7	2.07450585
chr21	14528628	1.07e-6	2.07452145
chr21	14530429	3.479e-5	2.07502692
chr21	14530850	1.67e-6	2.07505117
chr21	14530926	8e-8	2.07505232
chr21	14531157	2.4e-7	2.07505581
chr21	14531684	4.1e-7	2.07506172
chr21	14532302	4.7e-7	2.07506858
chr21	14533409	8.4e-7	2.07508085
chr21	14533670	2e-7	2.07508376
chr21	14534191	4e-7	2.07508955
chr21	14534635	3.8e-7	2.07509508
chr21	14535070	3.34e-6	2.07514369
chr21	14535111	1.22e-6	2.07516147
chr21	14537091	1.1066e-4	2.07677019
chr21	14537726	9.64e-6	2.07691035
chr21	14538500	4.13e-6	2.07697033
chr21	14538600	8.8e-7	2.07698313
chr21	14538621	6.5e-7	2.0769926
chr21	14538643	1.36e-6	2.0770123
chr21	14539315	6.674e-5	2.07798267
chr21	14539677	8.529e-5	2.0792227
chr21	14540171	6.086e-5	2.08010755
chr21	14541003	7.301e-5	2.08116919
chr21	14541050	1.43e-6	2.08118993
chr21	14542262	3.9e-7	2.08119563
chr21	14542310	2e-8	2.08119586
chr21	14542669	1.2e-7	2.08119754
chr21	14543031	1.2e-7	2.08119924
chr21	14545992	9.5e-7	2.0812131
chr21	14546088	3e-8	2.08121355
chr21	14546313	7e-8	2.0812146
chr21	14547112	2.6e-7	2.08121834
chr21	14548531	4.6e-7	2.08122499
chr21	14549030	3.29e-5	2.08170363
chr21	14549340	4.211e-5	2.08231628
chr21	14549423	2e-8	2.08231652
chr21	14549481	1e-8	2.08231668
chr21	14549546	1e-8	2.08231686
chr21	14549692	3e-8	2.08231726
chr21	14550026	6e-8	2.08231817
chr21	14550690	1.2e-7	2.08231998
chr21	14551045	7e-8	2.08232095
chr21	14551797	1.4e-7	2.082323
chr21	14552163	7e-8	2.082324
chr21	14552683	1e-7	2.08232542
chr21	14553364	1.3e-7	2.08232727
chr21	14553872	1e-7	2.08232866
chr21	14554012	3e-8	2.08232904
chr21	14554058	1e-8	2.08232922
chr21	14554084	5.4e-7	2.08233712
chr21	14554527	5.005e-5	2.0830656
chr21	14555016	4e-7	2.08307138
chr21	14555565	4.6e-7	2.08307805
chr21	14555913	1.79e-6	2.08310405
chr21	14556175	1.34e-6	2.08312362
chr21	14557744	3.495e-5	2.08363238
chr21	14562752	2.972e-4	2.08796036
chr21	14564547	6.61e-5	2.08892308
chr21	14566210	8.471e-5	2.09015703
chr21	14567452	9.186e-5	2.09149521
chr21	14569302	1.6431e-4	2.09388904
chr21	14570356	1.6173e-4	2.09624557
chr21	14571103	1.1075e-4	2.09785932
chr21	14571393	2.866e-5	2.0982769
chr21	14571543	1.456e-5	2.09848911
chr21	14572809	1.182e-4	2.10021164
chr21	14575118	2.0793e-4	2.1032422
chr21	14577923	3.7693e-4	2.10873705
chr21	14579582	3.2055e-4	2.1134106
chr21	14580244	7.444e-5	2.11449598
chr21	14581602	1.3391e-4	2.11644855
chr21	14582410	7.053e-5	2.11747709
chr21	14584002	1.3626e-4	2.11946434
chr21	14586122	1.8091e-4	2.12210305
chr21	14590255	6.9663e-4	2.13226702
chr21	14594247	0.00107167	2.14790725
chr21	14594381	3.87e-6	2.1479637
chr21	14596103	4.906e-5	2.14867974
chr21	14596467	1.048e-5	2.14883264
chr21	14597815	3.955e-5	2.14941004
chr21	14597859	1.33e-6	2.14942942
chr21	14598207	1.082e-5	2.14958737
chr21	14599102	4.031e-5	2.15017588
chr21	14599116	1.14e-6	2.15019247
chr21	14600595	1.4681e-4	2.15233603
chr21	14602168	1.5194e-4	2.15455463
chr21	14602690	4.271e-5	2.15517835
chr21	14603672	7.975e-5	2.15634302
chr21	14605001	7.309e-5	2.15741052
chr21	14606125	4.235e-5	2.15802909
chr21	14607053	4.558e-5	2.1586949
chr21	14607323	1.437e-5	2.15890485
chr21	14607855	2.943e-5	2.15933482
chr21	14608130	1.567e-5	2.1595638
chr21	14609066	6.083e-5	2.16045249
chr21	14609364	3.024e-5	2.16089421
chr21	14612066	3.8854e-4	2.16657158
chr21	14612135	6.1e-6	2.16666074
chr21	14614407	9.055e-5	2.16798404
chr21	14615347	6.664e-5	2.16895801
chr21	14616148	4.277e-5	2.1695832
chr21	14616454	1.372e-5	2.1697838
chr21	14618913	1.0719e-4	2.17135082
chr21	14619114	8.09e-6	2.17146916
chr21	14619309	7.13e-6	2.17157345
chr21	14620679	4.562e-5	2.17224041
chr21	14620765	2.13e-6	2.17227156
chr21	14627425	1.0361e-4	2.17378715
chr21	14629897	3.658e-5	2.1743223
chr21	14631485	2.387e-5	2.17467153
chr21	14632905	4.815e-5	2.17537605
chr21	14633896	5.337e-5	2.17615713
chr21	14634531	4.247e-5	2.17677863
chr21	14635415	4.542e-5	2.17744337
chr21	14637880	1.0403e-4	2.17896612
chr21	14642274	1.778e-4	2.1815695
chr21	14642660	1.53e-5	2.18179356
chr21	14647513	1.6674e-4	2.18423585
chr21	14647739	7.5e-6	2.18434577
chr21	14647873	1.788e-5	2.18460766
chr21	14650445	0.00377652	2.23993539
chr21	14651071	3.9063e-4	2.24565847
chr21	14651646	4.22e-5	2.24627672
chr21	14652008	1.754e-5	2.24653368
chr21	14653229	5.131e-5	2.24728553
chr21	14653424	8.19e-6	2.24740553
chr21	14653777	1.442e-5	2.24761691
chr21	14653895	4.64e-6	2.24768484
chr21	14655575	6.374e-5	2.24861902
chr21	14657546	7.25e-5	2.24968176
chr21	14657776	7.09e-6	2.24978574
chr21	14658558	8.71e-6	2.24991341
chr21	14660400	1.231e-5	2.25009391
chr21	14661979	9.7e-6	2.25023613
chr21	14663241	7.76e-6	2.25034999
chr21	14663291	3.1e-7	2.25035452
chr21	14665257	1.22e-5	2.25053345
chr21	14666638	8.87e-6	2.25066361
chr21	14666977	2.15e-6	2.25069513
chr21	14667140	1.04e-6	2.25071041
chr21	14668928	1.188e-5	2.25088472
chr21	14670057	5.855e-5	2.25174369
chr21	14671728	1.291e-5	2.25193309
chr21	14674012	1.9566e-4	2.25480419
chr21	14676449	1.239e-4	2.25662253
chr21	14676857	2.399e-5	2.25697466
chr21	14677076	1.288e-5	2.25716375
chr21	14677692	3.625e-5	2.25769584
chr21	14679701	1.1342e-4	2.25936075
chr21	14680849	1.034e-5	2.25951256
chr21	14686083	3.868e-5	2.26008065
chr21	14686182	7.3e-7	2.26009144
chr21	14686886	5.24e-6	2.26016844
chr21	14687773	9.86e-6	2.26031332
chr21	14687786	2e-7	2.26031631
chr21	14688005	4.78e-6	2.26038657
chr21	14688253	7.75e-6	2.26050043
chr21	14696600	1.9248e-4	2.26332923
chr21	14703318	5.872e-5	2.26419257
chr21	14706369	2.421e-5	2.26454866
chr21	14706894	6.72e-6	2.26464756
chr21	14707337	1.598e-5	2.26488262
chr21	14709609	1.0661e-4	2.26645083
chr21	14710244	8.35e-6	2.26657369
chr21	14722833	1.0608e-4	2.26813545
chr21	14728560	4.827e-5	2.26884638
chr21	14734474	4.981e-5	2.26958033
chr21	14735869	1.184e-5	2.26975477
chr21	14764108	0.00721504	2.37627834
chr21	14770823	0.00548758	2.45733444
chr21	14771745	8.434e-5	2.45858029
chr21	14775306	3.3005e-4	2.46345683
chr21	14786994	0.0116231	2.63532752
chr21	14788134	1.643e-4	2.63775717
chr21	14788185	6.79e-6	2.63785762
chr21	14789006	1.0958e-4	2.63947816
chr21	14789431	5.733e-5	2.64032606
chr21	14789697	3.638e-5	2.64086408
chr21	14791360	2.32e-4	2.64429562
chr21	14791464	1.948e-5	2.64458374
chr21	14792042	1.214e-4	2.64637943
chr21	14792509	4.968e-5	2.64711429
chr21	14806820	8.2633e-4	2.65934968
chr21	14806975	1.023e-5	2.65950112
chr21	14807145	5.689e-5	2.66034344
chr21	14807519	3.633e-5	2.6608814
chr21	14807620	2.38e-6	2.66091667
chr21	14807690	7.6e-7	2.66092795
chr21	14808790	8.77e-6	2.66105779
chr21	14811405	2.096e-5	2.66136825
chr21	14811424	4.6e-7	2.66137507
chr21	14812104	2.787e-5	2.66178792
chr21	14812745	2.175e-5	2.66211017
chr21	14814670	1.0991e-4	2.66373848
chr21	14816149	4.75e-5	2.66444229
chr21	14816851	2.185e-5	2.66476598
chr21	14817199	1.074e-5	2.66492517
chr21	14817449	7.64e-6	2.66503833
chr21	14817556	3.24e-6	2.6650864
chr21	14817620	1.97e-6	2.66511556
chr21	14818293	1.174e-4	2.6668553
chr21	14819800	9.002e-5	2.66818937
chr21	14819910	6.137e-5	2.66909883
chr21	14820023	6.533e-5	2.67006706
chr21	14820487	2.6901e-4	2.67405387
chr21	14820552	3.766e-5	2.67461198
chr21	14820662	6.303e-5	2.67554617
chr21	14820735	4.056e-5	2.67614736
chr21	14820956	7.127e-5	2.67720361
chr21	14821077	1.695e-5	2.67745483
chr21	14821094	2.3e-6	2.6774889
chr21	14821235	1.836e-5	2.67776109
chr21	14821268	3.93e-6	2.67781928
chr21	14821483	2.184e-5	2.67814303
chr21	14821591	8.02e-6	2.67826196
chr21	14821635	3.03e-6	2.67830684
chr21	14822069	2.836e-5	2.67872719
chr21	14824157	1.1717e-4	2.68046416
chr21	14824849	3.862e-5	2.68103672
chr21	14828461	2.0062e-4	2.68401157
chr21	14830246	9.88e-5	2.68547685
chr21	14830513	1.615e-5	2.68571639
chr21	14831122	7.49e-5	2.68682726
chr21	14831162	4.13e-6	2.68688855
chr21	14831234	7.13e-6	2.68699427
chr21	14831547	3.193e-5	2.68746791
chr21	14831652	1.083e-5	2.68762849
chr21	14832438	8.058e-5	2.6888237
chr21	14835640	8.7e-5	2.69011446
chr21	14837470	1.919e-5	2.69039923
chr21	14837943	4.68e-6	2.69046869
chr21	14838005	6.1e-7	2.69047781
chr21	14840448	2.428e-5	2.69083813
chr21	14840585	1.93e-6	2.69086681
chr21	14842678	6.545e-5	2.69183821
chr21	14842802	3.96e-6	2.69189694
chr21	14843387	1.412e-5	2.69210647
chr21	14843501	2.07e-6	2.69213722
chr21	14844910	2.194e-5	2.69246293
chr21	14846600	2.155e-5	2.69278288
chr21	14847463	9.37e-6	2.69292196
chr21	14848415	9.85e-6	2.69306823
chr21	14849562	1.189e-5	2.69324473
chr21	14849708	8.59e-6	2.6933723
chr21	14851553	7.5412e-4	2.70457218
chr21	14852044	2.016e-4	2.70756639
chr21	14854481	1.6966e-4	2.71008664
chr21	14859955	1.79e-4	2.71274652
chr21	14860160	3.86e-6	2.71280383
chr21	14861415	7.04e-6	2.71290848
chr21	14862260	6.47e-6	2.71300466
chr21	14863579	2.001e-5	2.71330209
chr21	14863878	1.173e-5	2.71347641
chr21	14864087	9.7e-6	2.71362057
chr21	14864587	2.01e-5	2.71391937
chr21	14865880	1.111e-5	2.71408452
chr21	14868699	7.675e-5	2.71522576
chr21	14870717	5.804e-4	2.72385679
chr21	14870860	4.115e-5	2.72446867
chr21	14875974	0.00615683	2.81605744
chr21	14876399	2.66e-5	2.81645318
chr21	14876464	4.1e-6	2.81651422
chr21	14878827	1.6214e-4	2.81892668
chr21	14879348	3.738e-5	2.81948285
chr21	14884202	0.00344987	2.87083147
chr21	14884234	5.01e-6	2.87090603
chr21	14884525	4.467e-5	2.87157093
chr21	14886149	2.3356e-4	2.87504779
chr21	14887798	2.3091e-4	2.87848553
chr21	14888292	1.3933e-4	2.88055995
chr21	14889844	3.3827e-4	2.88559676
chr21	14890207	3.606e-5	2.88613373
chr21	14891819	6.687e-5	2.88712962
chr21	14892378	2.251e-5	2.88746486
chr21	14892587	6.55e-6	2.88756239
chr21	14894694	2.153e-5	2.88788305
chr21	14898510	2.94e-5	2.88832108
chr21	14906049	5.099e-5	2.88908121
chr21	14906853	5.66e-6	2.88916558
chr21	14909493	2.147e-5	2.88948573
chr21	14909928	8.05e-6	2.88960574
chr21	14913657	2.4397e-4	2.89324422
chr21	14927001	2.5373e-4	2.89703164
chr21	14930302	7.44e-5	2.89814238
chr21	14930431	1.708e-5	2.8983974
chr21	14932215	7.121e-5	2.89946073
chr21	14933973	2.043e-5	2.89976576
chr21	14935723	1.081e-5	2.89992722
chr21	14936692	4.95e-6	2.90000112
chr21	14950777	3.5849e-4	2.90536077
chr21	14955997	4.358e-5	2.90601258
chr21	14972791	4.3339e-4	2.9125016
chr21	14973617	3.217e-5	2.91298331
chr21	14974525	3.791e-5	2.91355106
chr21	14974896	1.782e-5	2.91381796
chr21	14976733	1.0594e-4	2.91540459
chr21	14980155	0.00103129	2.9308535
chr21	14980846	2.4567e-4	2.93453389
chr21	14980899	1.819e-5	2.93480646
chr21	14981052	5.085e-5	2.93556825
chr21	14982007	3.0303e-4	2.94010824
chr21	14982463	1.4831e-4	2.94233026
chr21	14986008	0.00182582	2.96969196
chr21	14986474	8.733e-5	2.9710008
chr21	14990147	6.7116e-4	2.98106157
chr21	14994730	9.61e-6	2.98120567
chr21	14996395	2.44e-6	2.98124227
chr21	14998573	5.907e-5	2.98212817
chr21	14998622	6.3e-7	2.98213765
chr21	14998827	7.1e-7	2.98214823
chr21	14998887	1.1e-7	2.98214993
chr21	14999014	1.9e-7	2.98215282
chr21	14999175	2.5e-7	2.9821565
chr21	14999354	3.5e-7	2.98216172
chr21	14999727	3.88e-6	2.98221987
chr21	15000412	1.853e-5	2.98249784
chr21	15000615	2.044e-5	2.98280441
chr21	15000821	5.18e-6	2.98288209
chr21	15001011	3.46e-6	2.98293399
chr21	15001105	4.26e-6	2.98299785
chr21	15001289	1.18e-5	2.98317489
chr21	15001380	6.08e-6	2.98326606
chr21	15001560	1.181e-5	2.98344321
chr21	15001707	4.828e-5	2.9841675
chr21	15002068	5.9e-7	2.98417638
chr21	15002414	2.2e-7	2.98417973
chr21	15002943	1.4e-7	2.98418184
chr21	15003610	1.7e-7	2.98418434
chr21	15005185	3.9e-7	2.98419025
chr21	15005394	5e-8	2.98419103
chr21	15005873	1.2e-7	2.98419283
chr21	15006032	4e-8	2.98419343
chr21	15006787	1.9e-7	2.98419625
chr21	15008235	3.6e-7	2.98420167
chr21	15009305	2.7e-7	2.98420568
chr21	15009819	1.3e-7	2.98420761
chr21	15010169	9e-8	2.98420892
chr21	15010657	1.2e-7	2.98421078
chr21	15011123	1.2e-7	2.98421264
chr21	15011889	2.1e-7	2.98421576
chr21	15012898	2.9153e-4	2.98859246
chr21	15013563	5.6809e-4	2.99712149
chr21	15014085	2.2787e-4	3.00054279
chr21	15018642	1.7898e-4	3.0032309
chr21	15020225	4.965e-5	3.00397668
chr21	15028356	1.3343e-4	3.00598192
chr21	15032062	4.305e-5	3.00662898
chr21	15033401	1.619e-5	3.00687232
chr21	15043293	0.00112138	3.02374151
chr21	15043346	5.53e-6	3.02382463
chr21	15043706	4.658e-5	3.02452543
chr21	15043892	2.408e-5	3.02488776
chr21	15044008	1.499e-5	3.0251132
chr21	15044238	2.965e-5	3.02555923
chr21	15045101	1.0721e-4	3.02717215
chr21	15045415	2.76e-5	3.02758737
chr21	15045626	1.43e-5	3.02780253
chr21	15046162	4.085e-5	3.02841718
chr21	15046718	6.191e-5	3.02934868
chr21	15047038	2.476e-5	3.02972127
chr21	15047430	3.472e-5	3.03024366
chr21	15047650	1.6482e-4	3.03272382
chr21	15047796	1.129e-4	3.03442269
chr21	15047883	6.401e-5	3.03538594
chr21	15048510	8.659e-5	3.03668894
chr21	15048542	3.72e-6	3.03674491
chr21	15048676	1.44e-5	3.03696165
chr21	15048817	1.098e-5	3.03712686
chr21	15049273	2.083e-5	3.0374403
chr21	15049401	5.65e-6	3.03752528
chr21	15049662	1.122e-5	3.03769407
chr21	15049868	1.25e-5	3.03788213
chr21	15050114	2.128e-5	3.03820238
chr21	15050343	1.465e-5	3.0384228
chr21	15050523	7.21e-6	3.03853126
chr21	15050542	6.3e-7	3.03854073
chr21	15050738	4.99e-6	3.0386159
chr21	15051583	2.116e-5	3.0389344
chr21	15052304	6.55e-5	3.03992027
chr21	15052444	7.11e-6	3.04002734
chr21	15052633	6.1e-6	3.0401191
chr21	15053015	7.62e-6	3.04023374
chr21	15054451	2.378e-5	3.04059168
chr21	15055106	1.068e-5	3.04075251
chr21	15055198	1.55e-6	3.04077589
chr21	15056074	1.527e-5	3.04100578
chr21	15057767	0.00192053	3.06992469
chr21	15058052	4.5279e-4	3.07674277
chr21	15059093	0.001703	3.10238845
chr21	15059220	1.9291e-4	3.10529353
chr21	15059449	1.8138e-4	3.10802507
chr21	15059960	5.471e-5	3.10884897
chr21	15060842	9.43e-5	3.11026921
chr21	15060933	9.76e-6	3.11041625
chr21	15061069	2.7212e-4	3.11451471
chr21	15061195	6.7769e-4	3.12472149
chr21	15062218	0.00550486	3.20763686
chr21	15063594	0.00376507	3.26435238
chr21	15102480	0.00118418	3.28223643
chr21	15103225	6.49e-6	3.28233445
chr21	15107733	3.926e-5	3.28292756
chr21	15108247	4.48e-6	3.28299519
chr21	15110606	2.059e-5	3.28330628
chr21	15112025	1.449e-5	3.2835252
chr21	15125843	2.7196e-4	3.28763876
chr21	15133062	3.7783e-4	3.29335654
chr21	15135040	1.5962e-4	3.29577232
chr21	15136788	0.00484979	3.36918251
chr21	15146679	0.01737538	3.63236176
chr21	15147347	3.417e-5	3.6328794
chr21	15149009	7.956e-5	3.63408467
chr21	15149849	3.916e-5	3.63467801
chr21	15149921	3.36e-6	3.63472891
chr21	15151796	8.764e-5	3.63605684
chr21	15156666	2.3617e-4	3.63963634
chr21	15160661	1.9526e-4	3.6425966
chr21	15161808	1.0063e-4	3.64412239
chr21	15162081	4.487e-5	3.64480276
chr21	15163739	5.9356e-4	3.65380336
chr21	15167913	9.0212e-4	3.66748657
chr21	15169083	1.4493e-4	3.66968498
chr21	15173483	2.1197e-4	3.67290127
chr21	15176179	1.2698e-4	3.6748283
chr21	15177413	1.3173e-4	3.67682766
chr21	15177499	1.0932e-4	3.67848684
chr21	15181091	0.00577218	3.7661148
chr21	15185290	4.311e-4	3.77266111
chr21	15188224	2.8111e-4	3.77693068
chr21	15192293	7.466e-5	3.77806493
chr21	15196315	2.358e-5	3.77842322
chr21	15204740	5.443e-5	3.77925075
chr21	15209948	9.849e-5	3.78074877
chr21	15210048	4.56e-6	3.7808182
chr21	15214246	1.1311e-4	3.78253911
chr21	15217146	6.285e-5	3.78349548
chr21	15217225	1.47e-6	3.78351786
chr21	15218838	2.538e-5	3.78390405
chr21	15219052	3.26e-6	3.78395372
chr21	15220728	2.486e-5	3.78433209
chr21	15237709	2.6078e-4	3.78830572
chr21	15239804	0.00222427	3.82220312
chr21	15240097	2.3386e-4	3.82576722
chr21	15246288	0.00110377	3.84259564
chr21	15249228	5.164e-4	3.85047031
chr21	15251148	2.4906e-4	3.85426876
chr21	15251692	6.982e-5	3.85533359
chr21	15252765	8.426e-5	3.85661885
chr21	15253394	4.803e-5	3.85735148
chr21	15253641	1.79e-5	3.85762449
chr21	15253724	5.71e-6	3.85771161
chr21	15256529	1.4851e-4	3.85997737
chr21	15257273	3.38e-5	3.86049312
chr21	15257386	4.75e-6	3.86056563
chr21	15258675	5.089e-5	3.86134213
chr21	15262160	1.365e-4	3.86342541
chr21	15265683	1.3884e-4	3.86554496
chr21	15266816	6.251e-5	3.86649924
chr21	15269331	1.9196e-4	3.86943037
chr21	15271128	2.2896e-4	3.87292682
chr21	15272356	5.235e-5	3.87372626
chr21	15274152	2.238e-5	3.87406809
chr21	15274209	7e-7	3.87407876
chr21	15275995	2.189e-5	3.87441313
chr21	15276842	1.038e-5	3.87457166
chr21	15277826	1.205e-5	3.87475577
chr21	15278912	1.328e-5	3.8749587
chr21	15281331	2.953e-5	3.87541003
chr21	15283245	2.374e-5	3.87577281
chr21	15288260	1.1246e-4	3.87749218
chr21	15290124	6.487e-5	3.87848412
chr21	15302300	2.6998e-4	3.88261538
chr21	15304019	1.611e-5	3.88286198
chr21	15309774	5.386e-5	3.88368653
chr21	15318862	1.1192e-4	3.88540103
chr21	15326128	1.0092e-4	3.88694776
chr21	15333538	9.443e-5	3.88839564
chr21	15336645	8.176e-5	3.8896496
chr21	15337175	1.928e-5	3.88994528
chr21	15344474	1.8101e-4	3.89272281
chr21	15346738	2.784e-5	3.89315007
chr21	15350451	8.476e-5	3.89445111
chr21	15357094	2.6444e-4	3.89851219
chr21	15362357	0.00652291	3.99871944
chr21	15362833	9.63e-6	3.99886735
chr21	15364980	3.588e-5	3.99941869
chr21	15365789	1.355e-5	3.9996269
chr21	15366406	1.043e-5	3.9997872
chr21	15370090	6.492e-5	4.00078507
chr21	15370371	7.66e-6	4.00090285
chr21	15372789	4.7762e-4	4.00824523
chr21	15373716	0.00100158	4.02364325
chr21	15374356	9.9829e-4	4.03899126
chr21	15374916	8.7318e-4	4.0524163
chr21	15375227	7.2385e-4	4.06354569
chr21	15379229	0.00978553	4.21403959
chr21	15379788	1.708e-5	4.21430234
chr21	15380069	8.59e-6	4.21443442
chr21	15382280	6.767e-5	4.21547539
chr21	15382630	1.072e-5	4.21564035
chr21	15384139	5.503e-5	4.21648697
chr21	15385989	8.235e-5	4.21775394
chr21	15387020	4.117e-5	4.21838735
chr21	15387459	2.093e-5	4.21870936
chr21	15388760	3.992e-5	4.21932361
chr21	15392405	4.523e-5	4.22001983
chr21	15395478	3.842e-5	4.2206114
chr21	15395832	5.34e-6	4.22069368
chr21	15396029	3.51e-6	4.22074772
chr21	15396245	5.37e-6	4.2208304
chr21	15398972	2.1437e-4	4.22413141
chr21	15400165	1.8697e-4	4.22701084
chr21	15403536	6.6747e-4	4.23729223
chr21	15404514	6.663e-5	4.23831856
chr21	15404872	2.279e-5	4.23866965
chr21	15406522	1.044e-4	4.24027808
chr21	15412417	0.00230431	4.27579301
chr21	15421527	2.6429e-4	4.27986882
chr21	15435118	0.00102218	4.29564628
chr21	15435367	4.495e-5	4.29634008
chr21	15437113	2.3561e-4	4.29997723
chr21	15437630	2.17e-5	4.30031228
