Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr22	15473661	5.755e-5	1.83899401
chr22	15477632	8.867e-5	1.84036636
chr22	15478271	9.32e-6	1.8405106
chr22	15480848	3.498e-5	1.84105207
chr22	15481820	1.292e-5	1.84125202
chr22	15481884	8.3e-7	1.84126485
chr22	15511212	1.159e-4	1.8430626
chr22	15514577	1.048e-5	1.84322518
chr22	15523587	2.806e-5	1.84366074
chr22	15527165	6.132e-5	1.84461285
chr22	15538926	0.00118108	1.86296564
chr22	15539327	5.445e-5	1.86381182
chr22	15544076	0.00155887	1.88804299
chr22	15545931	4.3507e-4	1.89480653
chr22	15548467	5.6023e-4	1.9035173
chr22	15552767	8.8133e-4	1.91722439
chr22	15552886	2.953e-5	1.91768374
chr22	15553140	7.024e-5	1.91877613
chr22	15562273	0.00315248	1.96783592
chr22	15563686	7.198e-5	1.96895626
chr22	15577156	0.00147416	1.99191947
chr22	15577657	6.93e-6	1.9920274
chr22	15584872	6.183e-5	1.99299104
chr22	15585629	6.71e-6	1.99309555
chr22	15594555	9.952e-5	1.99464753
chr22	15596049	2.07e-5	1.99497034
chr22	15596366	6.08e-6	1.99506521
chr22	15597339	4.144e-5	1.99571158
chr22	15597516	7.39e-6	1.99582692
chr22	15598116	2.31e-5	1.99618721
chr22	15598492	9.77e-6	1.99633963
chr22	15599873	3.303e-5	1.99685494
chr22	15600457	2.613e-5	1.99726256
chr22	15606273	5.7078e-4	2.00617035
chr22	15609051	0.00147968	2.02926676
chr22	15612889	1.4206e-4	2.03148465
chr22	15616013	4.3776e-4	2.03832076
chr22	15618018	7.498e-5	2.03949181
chr22	15619154	4.228e-5	2.04015224
chr22	15628953	3.5555e-4	2.04570908
chr22	15629850	3.26e-5	2.04621862
chr22	15630306	1.659e-5	2.04647798
chr22	15630785	1.744e-5	2.04675064
chr22	15631752	3.527e-5	2.04730197
chr22	15632755	3.78e-5	2.04789286
chr22	15633362	2.825e-5	2.04833454
chr22	15635580	1.5306e-4	2.0507277
chr22	15639458	2.1606e-4	2.05410682
chr22	15639748	1.013e-5	2.05426519
chr22	15644752	1.3668e-4	2.05640357
chr22	15644819	1.1e-6	2.05642082
chr22	15645041	4.82e-6	2.05649626
chr22	15646268	5.749e-5	2.05739574
chr22	15648282	3.8674e-4	2.06344759
chr22	15649948	0.00504987	2.14247778
chr22	15654899	0.00136782	2.16389089
chr22	15655946	2.73e-5	2.1643183
chr22	15656485	1.395e-5	2.16453673
chr22	15657656	3.02e-5	2.16500954
chr22	15658619	2.484e-5	2.16539854
chr22	15660503	4.844e-5	2.16615713
chr22	15660701	5.03e-6	2.16623586
chr22	15660883	4.61e-6	2.16630809
chr22	15661266	9.69e-6	2.16645986
chr22	15662774	3.81e-5	2.16705668
chr22	15667697	1.264e-4	2.16903702
chr22	15668805	3.086e-5	2.16952054
chr22	15669551	5.91e-5	2.17044659
chr22	15670257	1.536e-5	2.17068733
chr22	15670980	1.589e-5	2.17093637
chr22	15671274	8.28e-6	2.17106613
chr22	15675771	8.269e-5	2.17236237
chr22	15678686	5.01e-5	2.17314786
chr22	15678800	2e-6	2.17317926
chr22	15679441	1.163e-5	2.1733616
chr22	15680331	1.1903e-4	2.17522808
chr22	15682296	8.153e-5	2.17650663
chr22	15683916	3.802e-5	2.17710301
chr22	15684435	1.475e-5	2.17733434
chr22	15685042	1.838e-5	2.17762257
chr22	15685295	9.96e-6	2.1777788
chr22	15687150	1.3993e-4	2.17997383
chr22	15687842	7.0209e-4	2.19098806
chr22	15688352	2.328e-5	2.19135333
chr22	15688426	3.38e-6	2.19140631
chr22	15688705	1.273e-5	2.191606
chr22	15689531	3.766e-5	2.19219685
chr22	15689656	5.7e-6	2.19228621
chr22	15690012	1.622e-5	2.19254077
chr22	15690057	2.05e-6	2.19257296
chr22	15690175	5.62e-6	2.19266108
chr22	15690867	2.8411e-4	2.19711898
chr22	15691109	1.33e-5	2.19732772
chr22	15691654	2.42e-5	2.19770738
chr22	15691787	6.11e-6	2.19780321
chr22	15691900	7.79e-6	2.19792546
chr22	15692704	7.859e-5	2.19915878
chr22	15693236	3.397e-5	2.19969189
chr22	15693710	3.483e-5	2.20023858
chr22	15694915	4.991e-5	2.20102186
chr22	15697797	1.4035e-4	2.20322512
chr22	15699058	6.105e-5	2.20418355
chr22	15700735	4.623e-5	2.20490937
chr22	15700986	6.22e-6	2.2050071
chr22	15701104	2.94e-6	2.20505332
chr22	15701222	2.94e-6	2.20509952
chr22	15701468	6.12e-6	2.20519564
chr22	15702149	1.57e-5	2.20544223
chr22	15702266	2.56e-6	2.20548235
chr22	15703181	1.961e-5	2.20579023
chr22	15704963	3.754e-5	2.20637974
chr22	15705574	1.277e-5	2.20658036
chr22	15708606	8.046e-5	2.20784434
chr22	15712840	8.711e-5	2.20921304
chr22	15713557	1.375e-5	2.20942909
chr22	15713683	2.34e-6	2.2094659
chr22	15714631	1.753e-5	2.20974144
chr22	15714973	6.56e-6	2.20984456
chr22	15715193	4.33e-6	2.20991265
chr22	15715460	5.44e-6	2.20999819
chr22	15716458	2.08e-5	2.21032517
chr22	15716794	7.1e-6	2.21043671
chr22	15717034	5.2e-6	2.21051837
chr22	15717591	1.269e-5	2.21071786
chr22	15719054	3.963e-5	2.21134084
chr22	15719676	1.849e-5	2.21163156
chr22	15720938	7.632e-5	2.21283133
chr22	15726651	0.00216239	2.24683849
chr22	15762199	0.01450299	2.47543746
chr22	15764466	5.9312e-4	2.48478768
chr22	15767574	4.3399e-4	2.49163063
chr22	15770164	2.2266e-4	2.49514205
chr22	15770278	2.513e-5	2.49553833
chr22	15770528	4.88e-5	2.49630789
chr22	15771019	9.897e-5	2.49786882
chr22	15771166	2.933e-5	2.49833143
chr22	15772429	2.0731e-4	2.50160118
chr22	15773062	8.368e-5	2.50292113
chr22	15773354	3.855e-5	2.50352921
chr22	15774142	9.922e-5	2.5050943
chr22	15776388	1.5057e-4	2.50746968
chr22	15778490	1.3216e-4	2.50955497
chr22	15779465	6.138e-5	2.51052355
chr22	15780619	7.259e-5	2.51166901
chr22	15781903	8.077e-5	2.51294373
chr22	15782120	1.381e-5	2.51316164
chr22	15782670	3.526e-5	2.51371811
chr22	15783413	4.602e-5	2.51444444
chr22	15784511	6.464e-5	2.51546478
chr22	15784682	9.88e-6	2.51562079
chr22	15784927	1.406e-5	2.51584275
chr22	15785344	2.378e-5	2.51621819
chr22	15786453	6.277e-5	2.51720907
chr22	15786722	1.54e-5	2.51745216
chr22	15786770	5.351e-5	2.51829684
chr22	15787360	0.0018166	2.54697609
chr22	15788149	0.00241365	2.58508311
chr22	15788716	7.938e-5	2.58633639
chr22	15789194	6.57e-5	2.5873738
chr22	15789446	3.576e-5	2.58793846
chr22	15790510	1.4355e-4	2.59020526
chr22	15795132	1.0678e-4	2.59189193
chr22	15796543	1.276e-5	2.59209353
chr22	15800955	3.989e-5	2.5927239
chr22	15802218	1.398e-5	2.59294484
chr22	15802634	2.5e-5	2.59333997
chr22	15803369	1.0634e-4	2.59502053
chr22	15803536	3.852e-5	2.59562928
chr22	15803938	9.695e-5	2.59716141
chr22	15805485	8.874e-5	2.59856395
chr22	15807764	5.496e-5	2.59943275
chr22	15808638	4.576e-5	2.60015617
chr22	15808807	8.23e-6	2.6002863
chr22	15809478	2.261e-5	2.60064369
chr22	15811400	5.447e-5	2.60150501
chr22	15811864	1.275e-5	2.6017066
chr22	15815857	9.688e-5	2.60323891
chr22	15816003	5.2e-6	2.6033211
chr22	15817293	1.0756e-4	2.60502242
chr22	15817792	3.133e-5	2.60551798
chr22	15817817	8.7e-7	2.60553176
chr22	15817935	3.5e-6	2.60558712
chr22	15820056	5.486e-5	2.60645497
chr22	15821545	3.124e-5	2.6069493
chr22	15822697	2.256e-5	2.60730631
chr22	15825069	4.754e-5	2.60805865
chr22	15826264	3.348e-5	2.60858847
chr22	15827479	3.502e-5	2.60914276
chr22	15827520	1.21e-6	2.60916192
chr22	15831327	1.4568e-4	2.61146827
chr22	15831830	6.79e-6	2.61157573
chr22	15836739	2.941e-5	2.61204146
chr22	15839662	5.086e-5	2.61284708
chr22	15839729	8.8e-7	2.61286105
chr22	15842028	1.256e-5	2.61305996
chr22	15843580	8.53e-6	2.61319515
chr22	15843864	9.743e-5	2.61473879
chr22	15846625	6.97e-5	2.61584323
chr22	15849366	7.446e-5	2.61702342
chr22	15862749	1.6704e-4	2.61967314
chr22	15863223	6.161e-5	2.62065041
chr22	15863281	1.627e-5	2.62090845
chr22	15863854	2.3639e-4	2.62465846
chr22	15865486	0.00350669	2.68029377
chr22	15866138	2.7955e-4	2.6847291
chr22	15866757	0.00023763000000000001	2.68849949
chr22	15867006	9.843e-5	2.69006129
chr22	15867087	1.1473e-4	2.69188178
chr22	15868074	0.00199944	2.723609
chr22	15868346	7.1863e-4	2.73501251
chr22	15869101	0.00164896	2.76118009
chr22	15869699	6.016e-5	2.76213477
chr22	15874444	4.727e-4	2.76963861
chr22	15876745	5.038e-5	2.77043844
chr22	15879499	6.001e-5	2.77139129
chr22	15888926	2.9577e-4	2.77609069
chr22	15891852	8.845e-5	2.77749627
chr22	15897744	1.0884e-4	2.77922654
chr22	15898744	7.75e-6	2.77934982
chr22	15900138	8.129e-5	2.78064231
chr22	15900524	1.25e-6	2.78066225
chr22	15902049	4.94e-6	2.78074088
chr22	15902401	1.14e-6	2.7807590700000002
chr22	15904368	6.45e-6	2.78086158
chr22	15912993	7.076e-5	2.78198752
chr22	15913534	2.27e-6	2.78202364
chr22	15914179	2.74e-6	2.78206728
chr22	15918036	1.708e-5	2.78233923
chr22	15919388	6.02e-6	2.78243507
chr22	15924972	2.444e-5	2.78282422
chr22	15929469	6.466e-5	2.78385414
chr22	15931862	1.272e-5	2.78405675
chr22	15936067	4.629e-5	2.78479436
chr22	15936467	7.15e-6	2.78490832
chr22	15942253	2.2885e-4	2.7885567
chr22	15945909	6.0149e-4	2.79814807
chr22	15955367	0.01484793	3.03505227
chr22	15957330	0.00576147	3.12698998
chr22	15959995	5.7302e-4	3.13613531
chr22	15961025	2.1726e-4	3.13960296
chr22	15962234	2.5506e-4	3.14367431
chr22	15962529	6.226e-5	3.14466813
chr22	15964121	2.5404e-4	3.1487236
chr22	15965643	1.1926e-4	3.15062771
chr22	15968239	2.0138e-4	3.15384347
chr22	15969440	8.86e-5	3.1552584
chr22	15969469	2.42e-6	3.15529697
chr22	15969624	1.46e-5	3.1555301
chr22	15970732	1.3105e-4	3.1576231
chr22	15970783	5.67e-6	3.15771364
chr22	15970942	1.714e-5	3.15798743
chr22	15971851	9.556e-5	3.15951371
chr22	15974398	2.6756e-4	3.16378778
chr22	15978355	4.1126e-4	3.17035901
chr22	15980378	1.942e-4	3.17346245
chr22	15982448	1.8403e-4	3.1764037
chr22	15984379	1.7031e-4	3.179126
chr22	15989767	3.8785e-4	3.1853276
chr22	15989926	1.08e-5	3.18550036
chr22	15992696	2.584e-4	3.18963294
chr22	15992718	2.08e-6	3.18966623
chr22	15993846	1.0862e-4	3.19140354
chr22	15994270	4.158e-5	3.19206866
chr22	15996258	1.9422e-4	3.19517538
chr22	15997962	1.634e-4	3.19778938
chr22	16005040	5.2485e-4	3.20618959
chr22	16010412	3.6587e-4	3.21204724
chr22	16015633	5.1308e-4	3.22026449
chr22	16018685	2.9571e-4	3.22500138
chr22	16022416	3.8364e-4	3.23114815
chr22	16024328	2.1847e-4	3.23464905
chr22	16028509	4.8478e-4	3.24241928
chr22	16029942	1.6714e-4	3.24509856
chr22	16030452	5.743e-5	3.24601916
chr22	16031278	8.562e-5	3.24739177
chr22	16032895	1.625e-4	3.24999714
chr22	16035055	2.1766e-4	3.25348737
chr22	16035110	5.69e-6	3.2535786
chr22	16035732	6.437e-5	3.25461085
chr22	16035901	1.771e-5	3.25489484
chr22	16036717	8.563e-5	3.25626802
chr22	16037471	1.2321e-4	3.2582439499999998
chr22	16037671	2.405e-5	3.25862964
chr22	16043705	0.00311068	3.30853644
chr22	16043860	1.5183e-4	3.31097243
chr22	16044810	9.2736e-4	3.32585174
chr22	16045687	7.1769e-4	3.33736763
chr22	16048671	0.0024082	3.37601596
chr22	16050454	0.00269788	3.4193181
chr22	16050656	3.0476e-4	3.42420967
chr22	16052253	0.00135229	3.44591693
chr22	16052682	1.116e-4	3.44770845
chr22	16055073	5.0439e-4	3.45580641
chr22	16056848	1.3967e-4	3.4580491
chr22	16059748	2.183e-4	3.46155501
chr22	16066349	5.4839e-4	3.47036568
chr22	16067061	3.1052e-4	3.4753549
chr22	16072335	0.00538686	3.56193429
chr22	16072415	1.0145e-4	3.56356488
chr22	16072634	1.5052e-4	3.56598409
chr22	16072727	4.488e-5	3.56670539
chr22	16074838	2.1166e-4	3.57010779
chr22	16075788	1.2691e-4	3.5721479
chr22	16077216	1.8388e-4	3.57510413
chr22	16077332	1.665e-5	3.57537189
chr22	16078126	1.0057e-4	3.57698894
chr22	16080176	1.9956e-4	3.58019783
chr22	16080362	1.777e-5	3.5804836
chr22	16084489	4.0635e-4	3.58701947
chr22	16087165	0.00304429	3.63599351
chr22	16087932	0.00138094	3.65821004
chr22	16092673	0.00872724	3.79865458
chr22	16096105	0.00630282	3.90010549
chr22	16096578	6.6557e-4	3.91081893
chr22	16096996	5.838e-4	3.92021633
chr22	16097090	1.335e-4	3.92236534
chr22	16097728	9.591e-4	3.93780468
chr22	16098603	0.00140267	3.96038563
chr22	16098647	7.398e-5	3.96157654
chr22	16099490	0.00166981	3.98845957
chr22	16100318	0.00164922	4.01501252
chr22	16101023	0.00140373	4.03761403
chr22	16101679	9.0637e-4	4.05220813
chr22	16102202	7.1953e-4	4.06379417
chr22	16110964	0.01248158	4.26488448
chr22	16112654	0.00309751	4.31479358
chr22	16116291	0.00639739	4.41789574
chr22	16117980	0.00156012	4.44304168
chr22	16119107	0.00108669	4.46055817
chr22	16155589	0.01199306	4.65431316
chr22	16156109	1.8118e-4	4.65724035
chr22	16157367	5.1387e-4	4.66554312
chr22	16158499	4.0909e-4	4.6721534
chr22	16159854	2.4494e-4	4.67611167
chr22	16163276	3.6555e-4	4.68202019
chr22	16163564	3.068e-5	4.68251606
chr22	16165285	1.8309e-4	4.68547573
chr22	16166118	9.089e-5	4.68694508
chr22	16169962	0.00444689	4.75885119
chr22	16171525	0.00177658	4.78758115
chr22	16172329	9.672e-5	4.78914533
chr22	16173354	1.1675e-4	4.79103361
chr22	16173402	5.47e-6	4.79112211
chr22	16173922	5.98e-5	4.79208937
chr22	16173941	3.67e-6	4.79214877
chr22	16174510	1.7555e-4	4.79498819
chr22	16175026	1.335e-4	4.79714756
chr22	16178147	2.3045e-4	4.80087585
chr22	16181276	1.8658e-4	4.80389497
chr22	16185037	2.2803e-4	4.80758567
chr22	16189365	0.00140247	4.83029074
chr22	16190250	3.5021e-4	4.83596075
chr22	16197815	0.00299973	4.88454981
chr22	16199986	9.8173e-4	4.90045379
chr22	16202238	7.2265e-4	4.9121623
chr22	16202530	1.2185e-4	4.91413665
chr22	16202626	5.709e-5	4.91506165
chr22	16204509	0.00355008	4.97258893
chr22	16204679	3.2066e-4	4.97778505
chr22	16206367	0.0031200999999999998	5.02835046
chr22	16206696	4.263e-5	5.02904136
chr22	16207654	8.428e-5	5.03040737
chr22	16213363	5.0081e-4	5.03852718
chr22	16215752	2.328e-4	5.04230225
chr22	16217285	2.1539e-4	5.04579522
chr22	16218849	2.378e-4	5.04965214
chr22	16220725	1.9091e-4	5.0527489
chr22	16235188	0.00180457	5.08204639
chr22	16236012	0.00127345	5.1027220700000004
chr22	16236030	2.783e-5	5.10317386
chr22	16236701	0.00103726	5.12001559
chr22	16236822	1.8694e-4	5.12305083
chr22	16240752	0.00598086	5.22018451
chr22	16247653	7.4987e-4	5.2323682
chr22	16254624	2.4146e-4	5.23629302
chr22	16257774	1.3572e-4	5.23849945
chr22	16260251	1.3701e-4	5.24072729
chr22	16262088	1.0442e-4	5.24242542
chr22	16263175	6.473e-5	5.24347806
chr22	16263366	9.16e-6	5.243627
chr22	16263445	3.22e-6	5.24367941
chr22	16265112	5.325e-5	5.24454548
chr22	16265306	6.15e-6	5.24464558
chr22	16266108	2.849e-5	5.24510905
chr22	16267172	1.652e-4	5.2477964
chr22	16268404	0.00212239	5.28232427
chr22	16268637	4.929e-5	5.28312612
chr22	16269605	1.2503e-4	5.28516028
chr22	16273667	5.3944e-4	5.29393897
chr22	16273763	2.279e-5	5.29430986
chr22	16276237	0.00103065	5.31108502
chr22	16276479	6.509e-5	5.31214447
chr22	16276577	2.21e-5	5.3125042
chr22	16276610	5.63e-6	5.31259591
chr22	16277884	1.432e-4	5.31492691
chr22	16278104	1.397e-5	5.31515428
chr22	16281067	5.214e-5	5.31600311
chr22	16282716	1.495e-5	5.31624648
chr22	16282839	9.02e-6	5.31639331
chr22	16284078	3.5257e-4	5.32213462
chr22	16284552	1.9467e-4	5.32530478
chr22	16285140	2.4047e-4	5.32922087
chr22	16285506	1.2413e-4	5.33124247
chr22	16301714	9.1426e-4	5.34614645
chr22	16307240	6.644e-5	5.34722996
chr22	16314370	1.314e-4	5.34937369
chr22	16317426	0.00150089	5.37386442
chr22	16317466	5.946e-5	5.37483465
chr22	16317546	1.1889e-4	5.37677464
chr22	16323027	8.8856e-4	5.39127865
chr22	16323471	2.568e-5	5.39169791
chr22	16331441	4.5574e-4	5.39914084
chr22	16332995	9.023e-5	5.40061464
chr22	16336079	1.8071e-4	5.40356677
chr22	16340085	2.7992e-4	5.40814061
chr22	16340397	2.393e-5	5.40853168
chr22	16340726	2.566e-5	5.40895098
chr22	16348218	5.3049e-4	5.41762355
chr22	16351578	8.695e-5	5.41904529
chr22	16353154	4.008e-5	5.41970071
chr22	16355599	6.265e-5	5.42072534
chr22	16360114	0.00314242	5.4721357
chr22	16362948	0.00227255	5.50932137
chr22	16366685	0.00861087	5.65025272
chr22	16369139	1.4429e-4	5.65261461
chr22	16372123	7.213e-5	5.65379547
chr22	16372173	1.62e-6	5.65382198
chr22	16373712	5.094e-5	5.65465602
chr22	16375929	7.228e-5	5.65583975
chr22	16376659	2.22e-5	5.65620338
chr22	16382228	2.2532e-4	5.65989466
chr22	16384463	3.949e-5	5.66054162
chr22	16385499	2.876e-5	5.66101285
chr22	16385749	2.319e-5	5.6613928
chr22	16385934	1.716e-5	5.66167403
chr22	16386566	4.041e-5	5.66233619
chr22	16386830	1.753e-5	5.66262341
chr22	16387981	8.806e-5	5.66406652
chr22	16391062	3.848e-5	5.66469718
chr22	16395327	5.998e-5	5.66568055
chr22	16396314	1.993e-5	5.66600737
chr22	16406780	7.7749e-4	5.67876352
chr22	16407753	4.4855e-4	5.68612326
chr22	16410985	6.0962e-4	5.6961277
chr22	16413340	4.2142e-4	5.70304454
chr22	16413464	2.195e-5	5.70340477
chr22	16416930	6.0928e-4	5.71340731
chr22	16421582	8.1782e-4	5.72683718
chr22	16424235	8.5647e-4	5.74090408
chr22	16428050	0.00197521	5.77335301
chr22	16429788	0.00126357	5.79411317
chr22	16429911	7.761e-5	5.79538824
chr22	16430159	1.1273e-4	5.79724049
chr22	16435891	0.00251111	5.83851276
chr22	16451100	0.00143679	5.86214948
chr22	16454708	2.2617e-4	5.86587101
chr22	16457814	5.7888e-4	5.87539809
chr22	16458587	4.54e-6	5.87547276
chr22	16458857	1.58e-6	5.87549883
chr22	16458885	1.7e-7	5.87550156
chr22	16459669	4.68e-6	5.87557853
chr22	16463349	2.944e-5	5.87606319
chr22	16463457	5.2e-7	5.87607178
chr22	16463499	1e-7	5.87607345
chr22	16463612	8e-8	5.87607477
chr22	16464408	1.1e-7	5.87607665
chr22	16465641	1.8e-7	5.87607956
chr22	16467656	2.9e-7	5.87608432
chr22	16467864	3e-8	5.87608481
chr22	16468146	4e-8	5.87608548
chr22	16468846	1e-7	5.87608713
chr22	16469135	4e-8	5.87608782
chr22	16469469	5e-8	5.87608861
chr22	16469724	4e-8	5.87608921
chr22	16469866	2e-8	5.87608955
chr22	16470392	8e-8	5.8760908
chr22	16470455	2.9e-7	5.87609559
chr22	16474989	1.8269e-4	5.87910547
chr22	16475026	5e-8	5.87910636
chr22	16477391	3.467e-5	5.8796776
chr22	16478415	6.107e-5	5.88068395
chr22	16478527	4.22e-6	5.88075343
chr22	16479173	2.087e-5	5.88109731
chr22	16485985	2.4273e-4	5.88509901
chr22	16489831	1.554e-4	5.88766154
chr22	16489946	4.66e-6	5.88773845
chr22	16492758	1.1452e-4	5.88962716
chr22	16495404	2.4588e-4	5.89368312
chr22	16495888	5.493e-5	5.89458927
chr22	16499530	3.8123e-4	5.90087934
chr22	16500574	9.84e-6	5.90104175
chr22	16501991	1.198e-5	5.90123943
chr22	16504763	2.189e-5	5.90160073
chr22	16506100	1.015e-5	5.90176829
chr22	16507366	8.13e-6	5.90190253
chr22	16509738	1.912e-5	5.90221815
chr22	16510466	4.79e-6	5.90229727
chr22	16527563	6.085e-5	5.90330289
chr22	16529432	2.17e-6	5.90333877
chr22	16530715	1.41e-6	5.90336202
chr22	16532898	2.32e-6	5.90340035
chr22	16536097	3.34e-6	5.90345565
chr22	16538093	2.09e-6	5.90349019
chr22	16540549	2.6e-6	5.9035332
chr22	16541295	8.1e-7	5.90354653
chr22	16541360	7e-8	5.90354771
chr22	16544226	3.25e-6	5.90360156
chr22	16544529	4.5e-7	5.90360902
chr22	16546790	4.24e-6	5.90367918
chr22	16552417	2.147e-5	5.90403458
chr22	16556423	1.318e-5	5.90425285
chr22	16558723	3.43e-6	5.9043097
chr22	16564023	2.12e-6	5.90434482
chr22	16573797	2.59e-6	5.90438777
chr22	16574940	3.883e-5	5.90503133
chr22	16576155	1.97e-5	5.90535782
chr22	16576195	9e-8	5.90535932
chr22	16577404	1.25e-6	5.90538
chr22	16580111	3.69e-6	5.90544125
chr22	16580493	6.33e-6	5.90554626
chr22	16581805	3.011e-5	5.90604559
chr22	16584167	1.2389e-4	5.90810024
chr22	16585258	1.2144e-4	5.91011428
chr22	16585759	5.558e-5	5.91103604
chr22	16587611	1.0366e-4	5.91275545
chr22	16589163	6.942e-5	5.91390708
chr22	16595721	2.4347e-4	5.9179477
chr22	16596817	7.972e-5	5.9192708
chr22	16597111	2.97e-5	5.91976372
chr22	16597219	1.091e-5	5.91994481
chr22	16598709	1.5023e-4	5.92243848
chr22	16599285	5.807e-5	5.92340247
chr22	16599872	5.919e-5	5.92438505
chr22	16604328	4.1504e-4	5.93127651
chr22	16606420	4.897e-4	5.93940872
chr22	16606922	1.3766e-4	5.94169485
chr22	16607554	1.8747e-4	5.94480822
chr22	16609842	6.7699e-4	5.95605296
chr22	16609859	5.01e-6	5.95613619
chr22	16610589	2.1498e-4	5.95970717
chr22	16611990	4.125e-4	5.96655969
chr22	16620087	0.00269989	6.01143209
chr22	16620486	9.955e-5	6.01308674
chr22	16620527	9.76e-6	6.01324892
chr22	16620929	8.992e-5	6.01474348
chr22	16623577	5.2273e-4	6.02343306
chr22	16626657	6.0706e-4	6.03352637
chr22	16632936	0.00261152	6.07696369
chr22	16636141	0.00161669	6.10385916
chr22	16636855	3.6021e-4	6.10985196
chr22	16637500	3.2555e-4	6.11526832
chr22	16637822	1.6257e-4	6.11797307
chr22	16639385	7.8908e-4	6.13110284
chr22	16643348	0.00200219	6.164426
chr22	16650655	0.00372611	6.22646814
chr22	16652682	0.00109111	6.24463797
chr22	16661226	0.00316807	6.29742183
chr22	16662916	7.603e-5	6.29868874
chr22	16663758	3.604e-5	6.29928929
chr22	16665930	9.779e-5	6.30091912
chr22	16667020	9.102e-5	6.30243611
chr22	16668204	1.6159e-4	6.30512957
chr22	16668765	1.8015e-4	6.30813243
chr22	16669076	1.0073e-4	6.3098115
chr22	16669251	5.67e-5	6.31075671
chr22	16669473	7.184e-5	6.31195426
chr22	16669684	6.844e-5	6.31309512
chr22	16670129	6.5036e-4	6.32393668
chr22	16670995	0.00182731	6.35439982
chr22	16673081	1.9028e-4	6.35757244
chr22	16673751	6.149e-5	6.35859769
chr22	16674794	9.58e-5	6.36019518
chr22	16676676	6.6e-5	6.36129584
chr22	16679249	8.691e-5	6.36274536
chr22	16682188	9.825e-5	6.36438439
chr22	16683373	1.2817e-4	6.36652273
chr22	16684505	1.9963e-4	6.36985353
chr22	16684622	2.062e-5	6.37019764
chr22	16684664	7.4e-6	6.37032111
chr22	16688066	5.9781e-4	6.38029736
chr22	16690858	4.8787e-4	6.38844036
chr22	16690887	4.38e-6	6.38851343
chr22	16691080	2.731e-5	6.38896919
chr22	16691174	1.325e-5	6.38919038
chr22	16691649	6.679e-5	6.39030524
chr22	16692175	4.407e-5	6.39104079
chr22	16692375	1.408e-5	6.39127578
chr22	16693517	4.527e-5	6.39203148
chr22	16693733	7.79e-6	6.39216152
chr22	16694612	3.078e-5	6.39267534
chr22	16694866	8.85e-6	6.39282305
chr22	16695440	1.989e-5	6.39315506
chr22	16697992	8.769e-5	6.39461935
chr22	16698163	6.07e-6	6.39472077
chr22	16698855	2.669e-5	6.39516642
chr22	16702144	7.3987e-4	6.40752387
chr22	16703057	2.9498e-4	6.41245099
chr22	16703700	2.0153e-4	6.41581728
chr22	16705672	2.3401e-4	6.41972654
chr22	16706425	6.43e-5	6.42080068
chr22	16708456	2.127e-4	6.42435462
